Batman: Silêncio;Jeph Loeb;DC Comics;Super-herói;79.90;true;Jim Lee;1;DC;12345678000190
Superman: O Homem de Aço;John Byrne;DC Comics;Super-herói;69.90;true;John Byrne;1;DC;12345678000190
Mulher-Maravilha: Renascimento;Greg Rucka;DC Comics;Super-herói;64.90;true;Liam Sharp;1;DC;98765432000110
O Espetacular Homem-Aranha;Stan Lee;Marvel Comics;Super-herói;59.90;true;Steve Ditko;15;Marvel;98765432000110
X-Men: A Saga da Fênix Negra;Chris Claremont;Marvel Comics;Super-herói;84.90;true;John Byrne;137;Marvel;11222333000155
Vingadores: A Queda;Brian Michael Bendis;Marvel Comics;Super-herói;79.90;true;David Finch;1;Marvel;11222333000155
Naruto;Masashi Kishimoto;Shueisha;Shonen;49.90;true;Masashi Kishimoto;7;Mangá;12345678000190
One Piece;Eiichiro Oda;Shueisha;Shonen;54.90;true;Eiichiro Oda;45;Mangá;98765432000110
Dragon Ball;Akira Toriyama;Shueisha;Shonen;52.90;true;Akira Toriyama;12;Mangá;11222333000155
Ataque dos Titãs;Hajime Isayama;Kodansha;Shonen;58.90;true;Hajime Isayama;5;Mangá;12345678000190
